	1	1A	1B	2	2A	3	4	5	6	7	8	9	10	11
MDSEL1	0x1A	0x01	0x02	0x1A	0x01	0xA8	0x0A	0xA8	0x0A	0x0D	0x4F	0x11	0x33	0x15
MDSEL2	0x06	0x06	0x06	0x01	0x01	0x2A	0x26	0x25	0x41	0x41	0x35	0x35	0x35	0x31
MDSEL3	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x38
MDSEL4	0xA0	0xA0	0xA0	0xA0	0xA0	0xA0	0xA1	0xA0	0xA1	0xA0	0xA0	0xA0	0xA0	0xA1
MDSEL5	0x77	0x77	0x77	0x77	0x77	0x77	0x33	0x77	0x33	0x77	0x77	0x77	0x77	0x55
HOPBOUT	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x0	0x0	0x0	0x0	0x0	0x0	0x0
HTRIMMING_EN	0x1	0x1	0x1	0x1	0x1	0x1	0x1	0x1	0x1	0x1	0x1	0x1	0x1	0x1
HTRIMMING_START	0x30	0x30	0x30	0x30	0x30	0x30	0x30	0x30	0x30	0x30	0x30	0x30	0x30	0x30
HTRIMMING_END	0x1060	0x1080	0x0F50	0x1060	0x1080	0x1080	0x1080	0x1080	0x1080	0x1080	0x1080	0x1080	0x1080	0x1080
MDSEL15	0x001A	0x001A	0x001A	0x0044	0x0044	0x001A	0x001A	0x0044	0x0044	0x0044	0x0044	0x0044	0x0044	0x0044
MDSEL6	0x00	0x01	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
MDSEL7	0x01	0x01	0x01	0x01	0x01	0x01	0x00	0x01	0x00	0x01	0x01	0x01	0x01	0x00
MDSEL8	0x02	0x02	0x02	0x02	0x02	0x02	0x02	0x02	0x02	0x02	0x02	0x02	0x02	0x02
VCUTMODE	0x00	0x00	0x00	0x00	0x00	0x02	0x03	0x02	0x03	0x04	0x05	0x06	0x07	0x08
OPB_SIZE_V	0x08	0x08	0x08	0x08	0x08	0x04	0x04	0x04	0x04	0x04	0x04	0x04	0x04	0x04
WRITE_VSIZE	0x0888	0x0888	0x0888	0x0888	0x0888	0x044C	0x044C	0x044C	0x044C	0x044C	0x02E4	0x02E4	0x00FC	0x00FA
Y_OUT_SIZE	0x0880	0x0880	0x0880	0x0880	0x0880	0x0448	0x0448	0x0448	0x0448	0x0448	0x02E0	0x02E0	0x00F8	0x00F6
MDSEL11	0x0C	0x0C	0x0C	0x0C	0x0C	0x0C	0x0C	0x0C	0x0C	0x0C	0x0C	0x0C	0x0C	0x0C
MDSEL12	0x0A	0x0A	0x0A	0x0A	0x0A	0x0A	0x0A	0x0A	0x0A	0x0A	0x0A	0x0A	0x0A	0x0A
MDSEL13	0x08	0x08	0x08	0x0A	0x0A	0x08	0x08	0x0A	0x0A	0x0A	0x0A	0x0A	0x0A	0x0A
MDSEL14	0x72	0x72	0x72	0x75	0x75	0x72	0x72	0x75	0x75	0x75	0x75	0x75	0x75	0x75
MDSEL16	0x0090	0x007D	0x0090	0x0090	0x007D	0x0090	0x0090	0x0090	0x0090	0x0090	0x0090	0x0090	0x0090	0x0090
MDSEL9	0x0000	0x0000	0x0000	0x0000	0x0000	0x0000	0x0000	0x0000	0x0000	0x006C	0x0000	0x0028	0x0032	0x003C
MDSEL10	0x0000	0x0000	0x0000	0x0000	0x0000	0x0000	0x0000	0x0000	0x0000	0x0034	0x0000	0x003A	0x0020	0x0034
SVR	0x0000	0x0000	0x0000	0x0000	0x0000	0x0000	0x0000	0x0000	0x0000	0x0000	0x0000	0x0000	0x0000	0x0000
