	0	1	1A	7	10	
MDSEL1	0x00	0x00	0x00	0x0C	0x32	
MDSEL2	0x0B	0x06	0x06	0x41	0x35	
MDSEL3	0x02	0x02	0x02	0x02	0x02	
MDSEL4	0xA0	0xA0	0xA0	0xA0	0xA0
MDVREV	0x0	0x0	0x0	0x0	0x0	
MDSEL5	0x77	0x77	0x77	0x77	0x77	
HOPBOUT	0x0	0x0	0x0	0x0	0x0	
HTRIMMING_EN	0x1	0x1	0x1	0x1	0x1	
HTRIMMING_START	0x30	0x30	0x30	0x30	0x30	
HTRIMMING_END	0x0F00	0x0F00	0x0F00	0x0F00	0x0F00	
MDSEL15	0x0044	0x001A	0x001A	0x0044	0x0044
MDSEL6	0x00	0x00	0x01	0x00	0x00	
MDSEL7	0x01	0x01	0x01	0x01	0x01	
MDSEL8	0x03	0x02	0x02	0x02	0x02	
VCUTMODE	0x00	0x00	0x00	0x04	0x07	
OPB_SIZE_V	0x10	0x10	0x10	0x04	0x04	
WRITE_VSIZE	0x0B18	0x0B18	0x0B18	0x0580	0x0140	
Y_OUT_SIZE	0x0B08	0x0B08	0x0B08	0x057C	0x013C	
MDSEL11	0x0A	0x0C	0x0C	0x0C	0x0C	
MDSEL12	0x09	0x0A	0x0A	0x0A	0x0A	
MDSEL13	0x07	0x08	0x08	0x0A	0x0A	
MDSEL14	0x51	0x72	0x72	0x75	0x75	
MDSEL16	0x0090	0x0090	0x007D	0x0090	0x0090
MDSEL9	0x0000	0x0000	0x0000	0x0000	0x0000
MDSEL10	0x0000	0x0000	0x0000	0x0000	0x0000	
